iter	Logloss
0	0.555948228
1	0.485379481
2	0.4108213902
3	0.3750197803
4	0.3452679788
5	0.3236156499
6	0.3114604561
7	0.3009135567
8	0.2930274325
9	0.2838116724
10	0.2775243079
11	0.2711069764
12	0.2644242449
13	0.2605760972
14	0.2554890458
15	0.2519080846
16	0.243371366
17	0.2399497236
18	0.2344949723
19	0.2309339617
20	0.2284692122
21	0.2245888851
22	0.2219719883
23	0.2191481257
24	0.2147462821
25	0.2115011888
26	0.2098609942
27	0.2068294967
28	0.2039041274
29	0.201667019
30	0.199423252
31	0.197413161
32	0.1954281213
33	0.1935030073
34	0.1919830327
35	0.1911476933
36	0.1889761893
37	0.1877574837
38	0.1860193896
39	0.1841369057
40	0.1826843527
41	0.1789727606
42	0.1767075306
43	0.1742150626
44	0.173027961
45	0.1712780333
46	0.1702400001
47	0.1689952413
48	0.1679125586
49	0.1664695803
50	0.1653214613
51	0.1646381664
52	0.1626895947
53	0.1618842224
54	0.1604509599
55	0.1596416245
56	0.1582328582
57	0.156321177
58	0.1540585663
59	0.1531337578
60	0.151942535
61	0.1502371826
62	0.1493812513
63	0.1485248652
64	0.1464205154
65	0.1449195552
66	0.1437463022
67	0.1426524482
68	0.1409560705
69	0.1389738687
70	0.1381711439
71	0.1360682054
72	0.1343378176
73	0.1334053068
74	0.1324368617
75	0.1306695473
76	0.1286069825
77	0.1277318088
78	0.1270029867
79	0.1254090681
80	0.1244766385
81	0.1230530301
82	0.1218024929
83	0.1207365937
84	0.1193213205
85	0.1182895138
86	0.1176401252
87	0.1163152586
88	0.1148453988
89	0.1138318592
90	0.1127030026
91	0.1121274657
92	0.111563498
93	0.1105141047
94	0.10994238
95	0.108789059
96	0.1080661603
97	0.1072310176
98	0.1061399826
99	0.105191646
100	0.1039184335
101	0.1034785928
102	0.1030205854
103	0.1023712269
104	0.10182211
105	0.1009566897
106	0.1006146865
107	0.1003217713
108	0.09969685983
109	0.09940507813
110	0.09867091101
111	0.0975105174
112	0.09732165269
113	0.09659624525
114	0.09585624167
115	0.09533124342
116	0.09471776878
117	0.09425181164
118	0.09355556613
119	0.09231006673
120	0.09137788817
121	0.09127620103
122	0.09043471576
123	0.09024375175
124	0.08936768612
125	0.08921260787
126	0.08898387565
127	0.08887020495
128	0.08876445926
129	0.08865255907
130	0.08802067619
131	0.08746579629
132	0.0871048069
133	0.08641201039
134	0.08554590555
135	0.08528192523
136	0.08450738317
137	0.08413972014
138	0.08342914162
139	0.08214410535
140	0.0814692657
141	0.08079977246
142	0.08023372179
143	0.07976578649
144	0.0795498925
145	0.07919395074
146	0.0789123974
147	0.07843881985
148	0.07778331014
149	0.07767188685
150	0.07750012174
151	0.07710644539
152	0.076828534
153	0.07645271853
154	0.07582467802
155	0.07508544455
156	0.07476769428
157	0.07439728351
158	0.07387533969
159	0.07358203984
160	0.073008713
161	0.07294919978
162	0.0726132684
163	0.07168919853
164	0.07149170513
165	0.07121611029
166	0.07104027873
167	0.07081521387
168	0.07071093043
169	0.07049260269
170	0.06981353993
171	0.06966240727
172	0.06922148107
173	0.06913340478
174	0.06880460617
175	0.06861144105
176	0.06850786258
177	0.06834786849
178	0.06782009664
179	0.06727787725
180	0.06655603574
181	0.06603020814
182	0.06551344481
183	0.06504828875
184	0.06434969539
185	0.06375902758
186	0.06353115335
187	0.06322493414
188	0.06242322297
189	0.06197945267
190	0.06173814754
191	0.06124529127
192	0.06113869243
193	0.06095177268
194	0.06045314466
195	0.06022345251
196	0.05988598807
197	0.05975232904
198	0.05906217011
199	0.0589580798
